# ----------------------------------------
# ユーザー獲得: ユーザーの最初の参照元 / メディア
# アカウント: www.wingarc.com
# プロパティ: https://www.wingarc.com - GA4
# ----------------------------------------
# 
# すべてのユーザー
# 開始日: 20260401
# 終了日: 20260430
ユーザーの最初の参照元 / メディア,月,総ユーザー数,新規ユーザー数,リピーター数,アクティブ ユーザーあたりの平均エンゲージメント時間,エンゲージメントのあったセッション数（1 アクティブ ユーザーあたり）,イベント数,キーイベント,ユーザー キーイベント率
niconsul.com / referral,04,4,2,2,701,5.25,282,6,0.25
notepm.jp / referral,04,4,3,1,79.25,0.75,25,0,0
okaya-system.co.jp / referral,04,4,2,2,56.5,1,29,0,0
opic.transprint.spa-cloud.com / referral,04,4,3,1,22.25,0.5,18,0,0
orikane.co.jp / referral,04,4,4,0,49.75,1,19,0,0
s.kabutan.jp / referral,04,4,3,1,13.25,1,27,0,0
simulation.genetec.co.jp / referral,04,4,3,1,36,1,16,0,0
smart-factory.funaisoken.co.jp / referral,04,4,3,1,165.25,0.75,30,2,0.25
sp-search.jp / referral,04,4,4,2,35.25,0.75,21,0,0
toray-intl.transprint.spa-cloud.com / referral,04,4,4,1,1.25,0,16,0,0
totec-sangyo.jp / referral,04,4,2,2,11.5,0.75,24,0,0
velocity-efficiency-4252.lightning.force.com / referral,04,4,4,1,26.5,0.5,23,0,0
vertexaisearch.cloud.google / referral,04,4,4,0,109.5,1,43,0,0
wingarc.dcd-dev.com / referral,04,4,4,1,26.25,0.75,42,0,0
wingarc.svy.ooo / referral,04,4,0,4,160,2.5,71,0,0
wingarc1st.my.salesforce-sites.com / referral,04,4,3,2,36,0.75,27,0,0
172.16.10.183:44090 / referral,04,3,2,1,1.6666666666666667,0,11,0,0
35.75.82.237 / referral,04,3,1,2,1977,21,1445,10,0.3333333333333333
a.msip.securewg.jp / referral,04,3,3,0,66.33333333333333,0.6666666666666666,11,0,0
ab365.sharepoint.com / referral,04,3,2,0,3,0,11,0,0
ad / external,04,3,3,0,124,0.3333333333333333,13,0,0
admin.nereki.jp / referral,04,3,3,0,19.666666666666668,1,19,0,0
aiboard.sateraitoai.jp / referral,04,3,3,0,12.333333333333334,0.3333333333333333,12,0,0
atled.jp / referral,04,3,2,2,30,1.3333333333333333,31,0,0
banso.info / referral,04,3,3,1,4,1.6666666666666667,40,11,1
bi.lakeel.com / referral,04,3,3,1,45,0.6666666666666666,21,0,0
bizstudy / external,04,3,3,0,0,0,9,0,0
bmlgrp.cybozu.com / referral,04,3,3,3,217,2.3333333333333335,119,5,0.6666666666666666
canoninc.sharepoint.com / referral,04,3,3,1,118,1,32,0,0
confluence.rakuten-it.com / referral,04,3,3,0,34,1,28,0,0
cse.google.com / referral,04,3,3,0,17.333333333333332,0.6666666666666666,12,0,0
data.city.kyoto.lg.jp / referral,04,3,3,0,25.666666666666668,0.6666666666666666,12,0,0
dxnow / media,04,3,3,0,0,0,9,0,0
econipass.com / referral,04,3,2,1,11.333333333333334,1.3333333333333333,67,13,1
