# ----------------------------------------
# ユーザー獲得: ユーザーの最初の参照元 / メディア
# アカウント: www.wingarc.com
# プロパティ: https://www.wingarc.com - GA4
# ----------------------------------------
# 
# すべてのユーザー
# 開始日: 20230401
# 終了日: 20240331
ユーザーの最初の参照元 / メディア,月,総ユーザー数,新規ユーザー数,リピーター数,アクティブ ユーザーあたりの平均エンゲージメント時間,エンゲージメントのあったセッション数（1 アクティブ ユーザーあたり）,イベント数,キーイベント,ユーザー キーイベント率
ydn / display,09,31,29,1,11.4,0.3333333333333333,134,0,0
statics.teams.cdn.office.net / referral,01,30,15,20,85.37931034482759,0.6551724137931034,154,0,0
statics.teams.cdn.office.net / referral,02,29,17,17,50.592592592592595,0.9259259259259259,150,0,0
t.co / referral,05,29,29,2,13.241379310344827,0.3793103448275862,112,0,0
statics.teams.cdn.office.net / referral,04,28,17,15,80.85185185185185,0.7777777777777778,219,0,0
statics.teams.cdn.office.net / referral,03,27,12,19,83.44444444444444,0.8888888888888888,139,0,0
logmi.jp / referral,02,26,22,1,22.73076923076923,0.8461538461538461,114,0,0
tlt.co.jp / referral,06,26,19,5,45.42307692307692,0.7692307692307693,140,0,0
classroom.google.com / referral,05,25,25,7,116.48,0.48,125,0,0
otsuka-shokai.co.jp / referral,02,25,24,4,42.56,0.52,116,0,0
hitachigroup.okta.com / referral,12,24,12,11,75.75,0.9583333333333334,109,0,0
kids.yahoo.co.jp / referral,02,24,24,1,139.70833333333334,0.625,98,0,0
hitachigroup.okta.com / referral,04,23,16,11,65.1304347826087,0.9565217391304348,145,0,0
gdn / display,07,21,21,0,0.6666666666666666,0.047619047619047616,71,0,0
gdn / display,12,21,21,0,2.8095238095238093,0.19047619047619047,69,0,0
websearch.rakuten.co.jp / referral,03,21,18,2,95.63157894736842,0.631578947368421,97,0,0
active.nikkeibp.co.jp / referral,04,20,16,1,29.263157894736842,0.6842105263157895,88,0,0
ers.nikkeibp.co.jp / referral,01,20,0,3,39.65,1.15,68,0,0
logmi.jp / referral,03,20,14,4,34,0.8,92,0,0
hitachigroup.okta.com / referral,07,19,14,8,119.89473684210526,1.0526315789473684,182,0,0
kids.yahoo.co.jp / referral,11,19,19,1,56.21052631578947,0.3684210526315789,83,0,0
sp-web.search.auone.jp / referral,01,19,19,2,48.73684210526316,0.5789473684210527,79,0,0
bing / cpc,09,18,12,4,51.27777777777778,0.8888888888888888,90,0,0
gdn / display,08,18,16,0,0.4375,0.1875,61,0,0
gdn / display,11,18,17,0,1.7777777777777777,0.05555555555555555,53,0,0
itmedia / external,11,18,0,16,53.4375,1,82,0,0
nikkan / external,02,18,0,18,103.61111111111111,1.2222222222222223,102,0,0
notepm.jp / referral,06,18,15,6,53.05555555555556,0.8888888888888888,139,0,0
notepm.jp / referral,11,18,15,6,82.44444444444444,1.1111111111111112,148,0,0
otsuka-shokai.co.jp / referral,01,18,18,0,24.72222222222222,0.7777777777777778,76,0,0
gdn / display,03,17,12,0,8.352941176470589,0.11764705882352941,46,0,0
hitachigroup.okta.com / referral,06,17,10,5,48.470588235294116,0.4117647058823529,78,0,0
hitachigroup.okta.com / referral,10,17,11,6,24.705882352941178,0.7647058823529411,70,0,0
hitachigroup.okta.com / referral,11,17,13,10,59.11764705882353,0.6470588235294118,87,0,0
sites.google.com / referral,10,17,15,4,67.11764705882354,0.7058823529411765,80,0,0
classroom.google.com / referral,12,16,14,7,128.875,1.5625,138,0,0
duckduckgo / organic,02,16,10,3,90.375,0.6875,55,0,0
gdn / display,01,16,16,0,5.875,0.3125,55,0,0
gdn / display,06,16,17,0,6.8125,0.4375,71,0,0
hitachigroup.okta.com / referral,05,16,12,8,53.2,0.6,82,0,0
notepm.jp / referral,04,16,10,7,140.0625,0.8125,175,0,0
websearch.rakuten.co.jp / referral,04,16,13,5,100.625,0.75,92,0,0
WA / product_MB,01,15,0,10,91.83333333333333,1.1666666666666667,62,0,0
classroom.google.com / referral,10,15,15,2,36,0.5333333333333333,61,0,0
duckduckgo / organic,01,15,12,5,71.93333333333334,0.6666666666666666,75,0,0
edgeservices.bing.com / referral,02,15,11,6,71.6,0.6666666666666666,71,0,0
hitachigroup.okta.com / referral,02,15,12,4,39.666666666666664,0.8,70,0,0
notepm.jp / referral,10,15,12,4,141.2,1.2,148,0,0
sp-web.search.auone.jp / referral,05,15,15,2,25.6,0.4,64,0,0
sp-web.search.auone.jp / referral,08,15,14,2,26.933333333333334,0.3333333333333333,60,0,0
websearch.rakuten.co.jp / referral,11,15,14,3,70.26666666666667,0.8,66,0,0
websearch.rakuten.co.jp / referral,12,15,13,3,49.733333333333334,0.8666666666666667,74,0,0
active.nikkeibp.co.jp / referral,01,14,0,5,208.28571428571428,1.1428571428571428,81,0,0
duckduckgo / organic,08,14,12,6,78.07142857142857,0.6428571428571429,71,0,0
edgeservices.bing.com / referral,01,14,13,4,63.46153846153846,0.9230769230769231,73,0,0
eloquaemail / email,08,14,14,1,34.57142857142857,0.7142857142857143,60,0,0
gdn / display,02,14,14,1,6.928571428571429,0.2857142857142857,50,0,0
gdn / display,10,14,14,0,3.357142857142857,0.21428571428571427,47,0,0
hitachigroup.okta.com / referral,08,14,8,6,32.92857142857143,0.5,64,0,0
notepm.jp / referral,01,14,11,4,95.78571428571429,0.9285714285714286,141,0,0
notepm.jp / referral,08,14,13,7,266.5,1.5,204,0,0
sp-web.search.auone.jp / referral,02,14,13,2,81.35714285714286,0.7857142857142857,57,0,0
sp-web.search.auone.jp / referral,07,14,12,0,45.69230769230769,0.46153846153846156,55,0,0
sp-web.search.auone.jp / referral,11,14,13,3,46.714285714285715,0.6428571428571429,63,0,0
t.co / referral,08,14,11,3,18.642857142857142,0.5,54,0,0
websearch.rakuten.co.jp / referral,01,14,14,1,81.35714285714286,0.6428571428571429,57,0,0
websearch.rakuten.co.jp / referral,06,14,12,3,84.85714285714286,0.5714285714285714,72,0,0
cn.bing.com / referral,05,13,12,4,135.07692307692307,1,94,0,0
duckduckgo / organic,03,13,10,5,122.6923076923077,0.8461538461538461,65,0,0
edgeservices.bing.com / referral,03,13,12,1,50.46153846153846,0.8461538461538461,71,0,0
eloquaemail / email,09,13,13,0,68.53846153846153,0.7692307692307693,49,0,0
ers.nikkeibp.co.jp / referral,02,13,0,8,85.63636363636364,1.2727272727272727,63,0,0
gdn / display,09,13,12,0,1.4166666666666667,0.16666666666666666,43,0,0
itmedia / external,10,13,0,5,86.81818181818181,1,53,0,0
notepm.jp / referral,12,13,11,2,57.76923076923077,0.8461538461538461,83,0,0
sp-web.search.auone.jp / referral,04,13,12,4,63.583333333333336,0.6666666666666666,72,0,0
sp-web.search.auone.jp / referral,12,13,13,2,56.69230769230769,0.5384615384615384,61,0,0
websearch.rakuten.co.jp / referral,09,13,10,2,24.833333333333332,0.5,52,0,0
ydn / display,10,13,12,2,2.3846153846153846,0.15384615384615385,47,0,0
cn.bing.com / referral,07,12,11,8,59.416666666666664,0.5,73,0,0
hitachigroup.okta.com / referral,09,12,8,6,75.25,0.75,58,0,0
nikkeibp / external,11,12,0,10,227.9,1.1,84,0,0
notepm.jp / referral,03,12,11,3,144.5,1.1666666666666667,132,0,0
qiita.com / referral,06,12,6,7,163.58333333333334,0.75,105,0,0
websearch.rakuten.co.jp / referral,02,12,12,3,42.166666666666664,0.5,54,0,0
websearch.rakuten.co.jp / referral,07,12,11,4,27.833333333333332,0.5,70,0,0
WA / product_MB,02,11,0,9,79.8,1.4,77,0,0
WA / product_MB,07,11,0,9,35.333333333333336,0.5555555555555556,52,0,0
duckduckgo / organic,04,11,8,1,59.45454545454545,0.5454545454545454,51,0,0
duckduckgo / organic,07,11,9,5,88.63636363636364,1.0909090909090908,61,0,0
duckduckgo / organic,11,11,9,3,58.63636363636363,0.6363636363636364,58,0,0
ecosia.org / organic,02,11,10,4,130,1.3636363636363635,90,0,0
edgeservices.bing.com / referral,08,11,10,3,47.36363636363637,0.6363636363636364,52,0,0
expo-form.jp / referral,09,11,10,3,34.09090909090909,0.9090909090909091,65,0,0
ferret-plus.com / referral,05,11,6,5,240.45454545454547,1.3636363636363635,160,0,0
gdn / display,05,11,11,1,11.909090909090908,0.2727272727272727,57,0,0
hitachigroup.okta.com / referral,03,11,8,3,129.1818181818182,0.9090909090909091,64,0,0
kids.yahoo.co.jp / referral,06,11,11,2,54.27272727272727,0.5454545454545454,49,1,0.09090909090909091
login.microsoftonline.com / referral,11,11,10,1,66.36363636363636,0.6363636363636364,55,0,0
microsoft / cpc,10,11,0,7,67.81818181818181,1.3636363636363635,69,0,0
notepm.jp / referral,05,11,9,3,135.54545454545453,1.1818181818181819,95,0,0
qiita.com / referral,07,11,6,6,100.5,0.8,71,0,0
